dataset,experiment_name,experiment_id,timestamp,meta_loader,meta_synthesizer,meta_obtainer,meta_repairer,meta_synthesizer_params_model_path,meta_synthesizer_params_size,meta_synthesizer_params_seed,meta_obtainer_params_selection_budget,meta_obtainer_params_generation_budget,meta_obtainer_params_k,meta_obtainer_params_seed,meta_repairer_params_alpha,repairer,synthesizer,engine,runtime_loading,runtime_synthesizing,runtime_marginals_obtaining,runtime_repairing,deletion_ratio_before,deletion_ratio_after,deletion_ratio_ratio,marginals_error_synthetic_avg,marginals_error_repaired_avg,tvd_2way_synthetic_avg,tvd_2way_repaired_avg,ml_accuracy_synthetic_logistic_regression,ml_accuracy_synthetic_random_forest,ml_accuracy_synthetic_mlp,ml_accuracy_repaired_logistic_regression,ml_accuracy_repaired_random_forest,ml_accuracy_repaired_mlp,violations_private,violations_synthetic,violations_repaired,loss_function_synthetic_total,loss_function_synthetic_size_component,loss_function_synthetic_marginal_component,loss_function_repaired_total,loss_function_repaired_size_component,loss_function_repaired_marginal_component,meta_repairer_params_use_marginals
compas,alpha_sweep_v3_compas_mst_classic_s43,0844babf,2026-05-10T13:14:26.759511,FileLoader,SmartNoiseModelLoader,TopKObtainer,ClassicVCRepairer,models/compas_mst.pkl,50000,43,0.5,0.5,20,42,,ClassicVCRepairer,SmartNoiseModelLoader,mst,0.2708728313446045,1.7539422512054443,1.824721336364746,119.45722198486328,50000,49352,0.01296,0.40063173952643344,0.4007063022810578,0.02459635524485131,0.02483336120752347,0.7083456692654364,0.7054014934701799,0.7444488305536366,0.7179841442152702,0.7058291391164183,0.7447448929241094,0,3901742,0,0.022275168545133346,0.0,0.04455033709026669,0.029137956030949524,0.01296,0.04531591206189905,
compas,alpha_sweep_v3_compas_mst_classic_s44,ee0ccfd4,2026-05-10T12:54:18.312194,FileLoader,SmartNoiseModelLoader,TopKObtainer,ClassicVCRepairer,models/compas_mst.pkl,50000,44,0.5,0.5,20,42,,ClassicVCRepairer,SmartNoiseModelLoader,mst,0.4611847400665283,4.365541219711304,2.0307540893554688,159.28202486038208,50000,49356,0.01288,0.40243424217218005,0.4039109706512599,0.023832759286779946,0.02410703258918792,0.7138557189381229,0.7087075232737919,0.7442843514589296,0.715368926609428,0.707802888252903,0.7375736043948814,0,3871723,0,0.021761812679068473,0.0,0.04352362535813695,0.028566403610262248,0.01288,0.04425280722052449,
compas,alpha_sweep_v3_compas_mst_vanilla_s42,ae4d462d,2026-05-10T13:09:13.720636,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/compas_mst.pkl,50000,42,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,mst,0.30120372772216797,1.7466905117034912,1.8170502185821533,44.61473989486694,50000,49677,0.00646,0.3908288819637019,0.3926558466924709,0.023823658972915124,0.023822972637849625,0.7146945623211289,0.703049442415869,0.7369650317444653,0.7196947268002237,0.7046613375439982,0.7388565413335965,0,3849595,0,0.021932907295042818,0.0,0.043865814590085636,0.0253843383899157,0.00646,0.0443086767798314,
compas,alpha_sweep_v3_compas_mst_vanilla_s43,c18f7282,2026-05-10T13:19:37.283876,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/compas_mst.pkl,50000,43,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,mst,0.6481003761291504,2.917302370071411,2.634319305419922,58.53407573699951,50000,49673,0.00654,0.40063173952643344,0.4010725221937853,0.02459635524485131,0.024631139290136814,0.7083456692654364,0.7054014934701799,0.7444488305536366,0.7145136353169512,0.7061416493963617,0.7334780749366755,0,3901742,0,0.022275168545133346,0.0,0.04455033709026669,0.025741138126193483,0.00654,0.04494227625238697,
compas,alpha_sweep_v3_compas_mst_vanilla_s44,11d1e7d2,2026-05-10T12:51:42.234647,FileLoader,SmartNoiseModelLoader,TopKObtainer,VanillaVCRepairer,models/compas_mst.pkl,50000,44,0.5,0.5,20,42,,VanillaVCRepairer,SmartNoiseModelLoader,mst,0.46254825592041016,4.38402533531189,2.0391933917999268,54.95848226547241,50000,49677,0.00646,0.40243424217218005,0.4040416620579207,0.023832759286779946,0.023865676616090604,0.7138557189381229,0.7087075232737919,0.7442843514589296,0.7144971874074805,0.7068489095036021,0.7387085101483601,0,3871723,0,0.021761812679068473,0.0,0.04352362535813695,0.025216384664091717,0.00646,0.043972769328183434,
compas,alpha_sweep_v3_compas_mst_weighted_a0.0_s42,481a00a3,2026-05-10T15:22:53.439757,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/compas_mst.pkl,50000,42,0.5,0.5,20,42,0.0,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.49435901641845703,2.889793872833252,2.279367446899414,8484.180062770844,50000,5213,0.89574,0.3908288819637019,0.22499374430941038,0.023823658972915124,0.10877537232482576,0.7146945623211289,0.703049442415869,0.7369650317444653,0.609756899898023,0.6548241718477581,0.6668640415803151,0,3849595,0,0.043865814590085636,0.0,0.043865814590085636,0.07450104765333183,0.89574,0.07450104765333183,
compas,alpha_sweep_v3_compas_mst_weighted_a0.0_s43,95abbdba,2026-05-10T15:17:53.746920,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/compas_mst.pkl,50000,43,0.5,0.5,20,42,0.0,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.6340978145599365,2.792184591293335,2.8038907051086426,7613.337858200073,50000,2038,0.95924,0.40063173952643344,0.016255672823733226,0.02459635524485131,0.08644272490411191,0.7083456692654364,0.7054014934701799,0.7444488305536366,0.617651896443962,0.6608441067140366,0.6502516530149018,0,3901742,0,0.04455033709026669,0.0,0.04455033709026669,0.0019479065617753085,0.95924,0.0019479065617753085,
compas,alpha_sweep_v3_compas_mst_weighted_a0.0_s44,f78605c7,2026-05-10T15:18:54.150505,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/compas_mst.pkl,50000,44,0.5,0.5,20,42,0.0,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.30032968521118164,1.7194807529449463,1.538050651550293,7355.4148206710815,50000,3534,0.92932,0.40243424217218005,0.29497116022520314,0.023832759286779946,0.1662203680512876,0.7138557189381229,0.7087075232737919,0.7442843514589296,0.5657751899733544,0.6482943517878877,0.634560347379848,0,3871723,0,0.04352362535813695,0.0,0.04352362535813695,0.11977958177696182,0.92932,0.11977958177696182,
compas,alpha_sweep_v3_compas_mst_weighted_a0.1_s42,dd51eba9,2026-05-10T13:11:44.518207,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/compas_mst.pkl,50000,42,0.5,0.5,20,42,0.1,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.3156092166900635,1.785973072052002,1.5863118171691895,84.21588659286499,50000,49677,0.00646,0.3908288819637019,0.3926558466924709,0.023823658972915124,0.023822972637849625,0.7146945623211289,0.703049442415869,0.7369650317444653,0.7196947268002237,0.7046613375439982,0.7388565413335965,0,3849595,0,0.039479233131077075,0.0,0.043865814590085636,0.04052380910184826,0.00646,0.0443086767798314,
compas,alpha_sweep_v3_compas_mst_weighted_a0.1_s43,f9b05514,2026-05-10T13:17:19.112512,FileLoader,SmartNoiseModelLoader,TopKObtainer,WeightedVCRepairer,models/compas_mst.pkl,50000,43,0.5,0.5,20,42,0.1,WeightedVCRepairer,SmartNoiseModelLoader,mst,0.308321475982666,2.053450345993042,1.5408360958099365,86.41723108291626,50000,49673,0.00654,0.40063173952643344,0.4010725221937853,0.02459635524485131,0.024631139290136814,0.7083456692654364,0.7054014934701799,0.7444488305536366,0.7145136353169512,0.7061416493963617,0.7334780749366755,0,3901742,0,0.040095303381240024,0.0,0.04455033709026669,0.04110204862714827,0.00654,0.04494227625238697,
