iterations,seed,repairer,marginal_error_repaired,marginal_error_synthetic,deletion_ratio,runtime_repairing,violations_repaired,ml_acc_rf_repaired,ml_acc_lr_repaired,ml_acc_rf_private,tvd_repaired
100,42,ILP (Marginals=False),0.7129277660669177,0.7252189170801879,0.02,22.96219277381897,0,0.985,0.539,0.525,0.005060291545189501
100,44,ILP (Marginals=True),0.013147732554290548,0.457347876306511,1.0,311.8119173049927,0,0.0,0.0,0.525,0.5
100,42,ILP (Marginals=True),0.014639547361408984,0.7252189170801879,1.0,310.42906522750854,0,0.0,0.0,0.525,0.5
100,43,ILP (Marginals=True),0.003821073209698298,0.9546993351684003,1.0,310.8337666988373,0,0.0,0.0,0.525,0.5
100,43,VanillaVCRepairer,0.9846709180435879,0.9546993351684003,0.0198,0.9189143180847168,0,0.985,0.546,0.525,0.005070051787293165
100,44,VanillaVCRepairer,0.4431416803613829,0.457347876306511,0.0198,1.1234583854675293,0,0.975,0.546,0.525,0.004787309489802859
100,42,VanillaVCRepairer,0.7129277660669177,0.7252189170801879,0.02,0.946800947189331,0,0.986,0.541,0.525,0.0051070553935860016
100,42,WeightedVCRepairer,0.37963002925661565,0.7252189170801879,0.028,1.8838539123535156,0,0.978,0.54,0.525,0.006571248285322359
100,43,WeightedVCRepairer,0.7295389448993381,0.9546993351684003,0.0238,1.8728034496307373,0,0.986,0.546,0.525,0.005707689095716139
100,44,WeightedVCRepairer,0.2881233478796075,0.457347876306511,0.0254,2.0992608070373535,0,0.976,0.545,0.525,0.005953923758709307
150,44,ClassicVCRepairer,0.23313731935974266,0.4405859317887586,0.9818,49.87740397453308,0,0.461,0.449,0.525,0.2749722867608583
150,43,ClassicVCRepairer,0.14529442038299695,0.9546993351684003,0.9886,37.1964898109436,0,0.502,0.486,0.525,0.39478579782790313
150,42,ClassicVCRepairer,0.15768292143359036,0.7253627732835862,0.9874,43.136802673339844,0,0.381,0.378,0.525,0.35743404383975835
150,42,ILP (Marginals=False),0.7067896713779701,0.7253627732835862,0.03,28.62500810623169,0,0.978,0.539,0.525,0.006549376534118802
150,43,ILP (Marginals=False),0.9748677642135821,0.9546993351684003,0.0296,26.23880386352539,0,0.979,0.548,0.525,0.006350356848427742
150,44,ILP (Marginals=False),0.37620527671870335,0.4405859317887586,0.0296,35.667288064956665,0,0.975,0.547,0.525,0.005961535743728651
150,44,ILP (Marginals=True),0.013147732554290548,0.4405859317887586,1.0,316.28849053382874,0,0.0,0.0,0.525,0.5
150,43,ILP (Marginals=True),0.003821073209698298,0.9546993351684003,1.0,316.8441390991211,0,0.0,0.0,0.525,0.5
150,42,ILP (Marginals=True),0.014639547361408984,0.7253627732835862,1.0,317.29717659950256,0,0.0,0.0,0.525,0.5
150,43,VanillaVCRepairer,0.9748677642135821,0.9546993351684003,0.0296,1.7814016342163086,0,0.979,0.548,0.525,0.006350356848427742
150,44,VanillaVCRepairer,0.37620527671870335,0.4405859317887586,0.0296,1.9916131496429443,0,0.975,0.547,0.525,0.005961535743728651
150,42,VanillaVCRepairer,0.7067896713779701,0.7253627732835862,0.03,1.6968340873718262,0,0.978,0.539,0.525,0.006549376534118802
150,43,WeightedVCRepairer,0.6599241884857789,0.9546993351684003,0.0792,3.998643636703491,0,0.957,0.546,0.525,0.017495413512059903
150,44,WeightedVCRepairer,0.25013332783614806,0.4405859317887586,0.0724,4.407717227935791,0,0.942,0.546,0.525,0.016275952278280863
150,42,WeightedVCRepairer,0.3719410802217782,0.7253627732835862,0.0408,2.940516948699951,0,0.97,0.538,0.525,0.0082269033718575
200,42,ClassicVCRepairer,0.016771970447451795,0.7254109082000713,0.9796,41.1137797832489,0,0.474,0.444,0.525,0.23860948646125113
200,43,ClassicVCRepairer,0.03765206108217947,0.9043681843893958,0.9864,56.89700174331665,0,0.455,0.403,0.525,0.25932056022408984
200,44,ClassicVCRepairer,0.1223981650969117,0.4397687198125387,0.971,40.86725044250488,0,0.477,0.464,0.525,0.2144398686371099
200,44,ILP (Marginals=False),0.3746190810257435,0.4397687198125387,0.039,29.511918783187866,0,0.968,0.548,0.525,0.007349296863386354
200,42,ILP (Marginals=False),0.7044994710577039,0.7254109082000713,0.0396,34.43586540222168,0,0.976,0.541,0.525,0.007875632772059257
200,43,ILP (Marginals=False),0.91554493064184,0.9043681843893958,0.039,47.038384675979614,0,0.972,0.542,0.525,0.007309913284772812
200,43,ILP (Marginals=True),0.003821073209698298,0.9043681843893958,1.0,320.16044783592224,0,0.0,0.0,0.525,0.5
200,42,ILP (Marginals=True),0.014639547361408984,0.7254109082000713,1.0,325.62836265563965,0,0.0,0.0,0.525,0.5
200,44,ILP (Marginals=True),0.013147732554290548,0.4397687198125387,1.0,321.4823229312897,0,0.0,0.0,0.525,0.5
200,43,VanillaVCRepairer,0.91554493064184,0.9043681843893958,0.039,2.4815499782562256,0,0.972,0.542,0.525,0.007309913284772812
200,42,VanillaVCRepairer,0.7044994710577039,0.7254109082000713,0.0396,2.2733938694000244,0,0.976,0.541,0.525,0.007875632772059257
200,44,VanillaVCRepairer,0.3746190810257435,0.4397687198125387,0.039,2.4644083976745605,0,0.968,0.548,0.525,0.007349296863386354
200,44,WeightedVCRepairer,0.25933060260446034,0.4397687198125387,0.0558,4.862661838531494,0,0.963,0.546,0.525,0.010116865474425316
200,42,WeightedVCRepairer,0.36060499640001537,0.7254109082000713,0.062,5.293871641159058,0,0.966,0.54,0.525,0.011897102243882626
200,43,WeightedVCRepairer,0.5794038565393955,0.9043681843893958,0.1172,6.58778977394104,0,0.939,0.543,0.525,0.025664319157658547
300,44,ClassicVCRepairer,0.05059778423662682,0.4397687198125387,0.9874,59.484498262405396,0,0.474,0.459,0.525,0.3061032199546484
300,43,ClassicVCRepairer,0.003821073209698298,0.9094315299356956,0.9974,49.29117035865784,0,0.244,0.205,0.525,0.5049579487179487
300,42,ClassicVCRepairer,0.16949681114346551,0.7205507955833605,0.996,55.171838998794556,0,0.485,0.409,0.525,0.4232476190476191
300,42,ILP (Marginals=False),0.6842423548560579,0.7205507955833605,0.0588,39.959261655807495,0,0.97,0.535,0.525,0.009853103434318904
